Locality,Zip code,Property type,Price,Bedrooms,Living area,Surface of the plot,Facades,Building condition,Fireplace,Equipped kitchen,Garden,Garden surface,Terrace,Terrace surface,Furnished,Swimming pool,Province,Property,Region
Mechelen,2500,House,670000,6.0,446.0,841.0,2.0,Good,0,1,0,0.0,0,0.0,0,1,Antwerp,House,Flanders
Nivelles,1410,Villa,675000,5.0,225.0,1250.0,4.0,Just renovated,1,1,1,1250.0,0,0.0,0,0,Brabant Wallon,House,Wallonia
Brugge,8020,House,695000,3.0,287.0,19869.0,,Not mentioned,0,0,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Oudenaarde,9660,House,695000,4.0,305.0,6140.0,4.0,Not mentioned,1,1,0,0.0,1,70.0,0,1,Oost-Vlaanderen,House,Flanders
Brussels,1030,House,699000,6.0,681.0,200.0,3.0,To renovate,0,0,0,0.0,1,60.0,0,0,Brussels,House,Brussels
Liège,4120,House,699000,4.0,227.0,2129.0,4.0,Good,1,1,0,0.0,0,0.0,0,1,Liège,House,Wallonia
Dendermonde,9260,House,699000,3.0,183.0,6080.0,4.0,To renovate,0,1,1,5110.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Brussels,1070,Apartment_Block,700000,8.0,330.0,220.0,2.0,To be done up,0,0,0,0.0,1,40.0,0,0,Brussels,Other,Brussels
Sint-Niklaas,9150,Villa,725000,4.0,403.0,738.0,4.0,As new,1,1,1,280.0,1,20.0,0,0,Oost-Vlaanderen,House,Flanders
Gent,9050,Apartment_Block,735000,8.0,350.0,160.0,2.0,Not mentioned,0,0,0,0.0,1,22.0,0,0,Oost-Vlaanderen,Other,Flanders
Leuven,3140,Villa,759000,5.0,391.0,2502.0,,Good,0,0,0,0.0,0,0.0,0,1,Vlaams-Brabant,House,Flanders
Liège,4053,Villa,760000,5.0,346.0,1400.0,4.0,Good,0,1,0,0.0,0,0.0,0,0,Liège,House,Wallonia
Leuven,3020,House,765000,4.0,183.0,1036.0,4.0,Just renovated,0,1,1,1036.0,1,30.0,0,0,Vlaams-Brabant,House,Flanders
Brugge,8820,House,775000,4.0,364.0,5231.0,4.0,To be done up,0,1,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
